brand,id,filename,description,rootfs_extracted,kernel_extracted,arch,kernel_version,url,product,version
openwrt,14716,openwrt/7d6e119b9528b2f4b96041fc25b2bd49e3bfce3e.bin,openwrt-15.05-ar71xx-generic-smart-300-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-smart-300-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14723,openwrt/7d3c34241374dcb1617836a13679de31fab4936e.bin,openwrt-15.05-ar71xx-generic-tew-673gru-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-673gru-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14729,openwrt/3b30ec7463db4eb6d914e4c63b5dd5cad23fa690.bin,openwrt-15.05-ar71xx-generic-tew-732br-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-732br-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14706,openwrt/845a4aa0a53bb106960b35781aff9c49018ef337.bin,openwrt-15.05-ar71xx-generic-rw2458n-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-rw2458n-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14707,openwrt/72e18f12ecc19e32a9965e3c53f249cb0db2b52c.bin,openwrt-15.05-ar71xx-generic-rw2458n-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-rw2458n-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14708,openwrt/16ecc4ca304bcdc944bbe5964e2e2b25f5d9e476.bin,openwrt-15.05-ar71xx-generic-tew-632brp-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-632brp-squashfs-factory.bin,15.0-ar71x-generi,
openwrt,14709,openwrt/ca49fae61d6fcebd223e406b50cfab17766f798e.bin,openwrt-15.05-ar71xx-generic-smart-300-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-smart-300-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14710,openwrt/4b5249d6822b783514afb3f2c6aa03d7e34037d3.bin,openwrt-15.05-ar71xx-generic-tew-632brp-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-632brp-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14717,openwrt/e4cef61d01794dbffad2976fdb0129c1f7a9f159.bin,openwrt-15.05-ar71xx-generic-tew-652brp-squashfs-sysupgrade.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-652brp-squashfs-sysupgrade.bin,15.0-ar71x-generi,
openwrt,14711,openwrt/b05f2ead38387addb05c2686f0ebd6c9afb7a3b9.bin,openwrt-15.05-ar71xx-generic-tew-652brp-recovery-squashfs-factory.bin,t,t,mipseb,Linux kernel version 3.18.2,http://archive.openwrt.org/chaos_calmer/15.05/ar71xx/generic/openwrt-15.05-ar71xx-generic-tew-652brp-recovery-squashfs-factory.bin,15.0-ar71x-generi,
