id,url
14402,http://archive.openwrt.org/chaos_calmer/15.05/brcm47xx/legacy/openwrt-15.05-brcm47xx-legacy-linksys-wrtsl54gs-squashfs.bin
10646,http://archive.openwrt.org/chaos_calmer/15.05.1/brcm47xx/legacy/openwrt-15.05.1-brcm47xx-legacy-linksys-wrt54gs-v4-squashfs.bin
14365,http://archive.openwrt.org/chaos_calmer/15.05/brcm47xx/generic/openwrt-15.05-brcm47xx-generic-linksys-wrt300n-v1.1-squashfs.bin
14235,http://archive.openwrt.org/chaos_calmer/15.05/brcm47xx/mips74k/openwrt-15.05-brcm47xx-mips74k-asus-rt-n10u-squashfs.trx
9780,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/mt7621/openwrt-15.05.1-ramips-mt7621-wsr-1166-squashfs-sysupgrade.bin
14963,http://archive.openwrt.org/chaos_calmer/15.05/adm5120/router_le/openwrt-15.05-adm5120-router_le-cg-nsadp-squashfs-webui.bin
9836,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt305x/openwrt-15.05.1-ramips-rt305x-bc2-squashfs-sysupgrade.bin
9923,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt305x/openwrt-15.05.1-ramips-rt305x-hlk-rm04-initramfs-uImage.bin
11566,http://archive.openwrt.org/chaos_calmer/15.05.1/adm5120/router_le/openwrt-15.05.1-adm5120-router_le-dns-g120-squashfs-webui.bin
13979,http://archive.openwrt.org/chaos_calmer/15.05/ramips/rt305x/openwrt-15.05-ramips-rt305x-dir-600-b2-squashfs-sysupgrade.bin
9908,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt305x/openwrt-15.05.1-ramips-rt305x-dir-615-h1-squashfs-sysupgrade.bin
9965,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt305x/openwrt-15.05.1-ramips-rt305x-nbg-419n-initramfs-uImage.bin
14383,http://archive.openwrt.org/chaos_calmer/15.05/brcm47xx/legacy/openwrt-15.05-brcm47xx-legacy-linksys-wrt150n-squashfs.bin
9951,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt305x/openwrt-15.05.1-ramips-rt305x-mpr-a2-initramfs-uImage.bin
9796,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt305x/openwrt-15.05.1-ramips-rt305x-all5002-initramfs-uImage.bin
14101,http://archive.openwrt.org/chaos_calmer/15.05/ramips/rt305x/openwrt-15.05-ramips-rt305x-wnce2001-squashfs-sysupgrade.bin
9881,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt305x/openwrt-15.05.1-ramips-rt305x-dir-300-b7-squashfs-sysupgrade.bin
14377,http://archive.openwrt.org/chaos_calmer/15.05/brcm47xx/legacy/openwrt-15.05-brcm47xx-legacy-dwl3150-squashfs.bin
14034,http://archive.openwrt.org/chaos_calmer/15.05/ramips/rt305x/openwrt-15.05-ramips-rt305x-olinuxino-rt5350f-evb-initramfs-uImage.bin
14036,http://archive.openwrt.org/chaos_calmer/15.05/ramips/rt305x/openwrt-15.05-ramips-rt305x-nw718m-squashfs-sysupgrade.bin
9747,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt305x/openwrt-15.05.1-ramips-rt305x-3g150b-squashfs-sysupgrade.bin
14076,http://archive.openwrt.org/chaos_calmer/15.05/ramips/rt305x/openwrt-15.05-ramips-rt305x-w150m-squashfs-factory.bin
10709,http://archive.openwrt.org/chaos_calmer/15.05.1/ar7/generic/openwrt-15.05.1-ar7-generic-WA7B-squashfs-code.bin
9771,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/mt7620/openwrt-15.05.1-ramips-mt7620-Lenovo-y1s-squashfs-sysupgrade.bin
14520,http://archive.openwrt.org/chaos_calmer/15.05/ar7/generic/openwrt-15.05-ar7-generic-WAG54GP2v2-squashfs-code.bin
9690,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt3883/openwrt-15.05.1-ramips-rt3883-rt-n56u-squashfs-factory.bin
14142,http://archive.openwrt.org/chaos_calmer/15.05/ramips/mt7621/openwrt-15.05-ramips-mt7621-pbr-m1-squashfs-sysupgrade.bin
10060,http://archive.openwrt.org/chaos_calmer/15.05.1/ramips/rt305x/openwrt-15.05.1-ramips-rt305x-wt1520-4M-initramfs-uImage.bin
14106,http://archive.openwrt.org/chaos_calmer/15.05/ramips/rt305x/openwrt-15.05-ramips-rt305x-wt1520-8M-initramfs-uImage.bin
13915,http://archive.openwrt.org/chaos_calmer/15.05/ramips/rt305x/openwrt-15.05-ramips-rt305x-3g300m-squashfs-factory.bin
